account_external_id,Name,customer_since,region,age,preferred_channel,campaign_opt_in,loyalty_tier
ACC-00001,Customer 00001,8/15/2024,CZ,39,Store,FALSE,Bronze
ACC-00002,Customer 00002,9/22/2023,CZ,48,Mobile App,TRUE,Silver
ACC-00003,Customer 00003,3/20/2023,CZ,34,Email,FALSE,Silver
ACC-00004,Customer 00004,11/22/2022,CZ,38,Store,TRUE,Bronze
ACC-00005,Customer 00005,12/28/2023,CZ,29,Mobile App,TRUE,Gold
ACC-00006,Customer 00006,3/20/2021,CZ,43,Web,TRUE,Bronze
ACC-00007,Customer 00007,6/5/2022,CZ,32,Store,TRUE,Bronze
ACC-00008,Customer 00008,5/2/2021,CZ,18,Email,TRUE,Silver
ACC-00009,Customer 00009,11/25/2024,CZ,18,Web,FALSE,Bronze
ACC-00010,Customer 00010,10/8/2022,CZ,43,Email,TRUE,Bronze
ACC-00011,Customer 00011,7/4/2022,CZ,50,Email,TRUE,Silver
ACC-00012,Customer 00012,6/30/2022,CZ,45,Mobile App,TRUE,Gold
ACC-00013,Customer 00013,12/13/2022,CZ,18,Store,TRUE,Bronze
ACC-00014,Customer 00014,6/4/2023,CZ,43,Email,TRUE,Bronze
ACC-00015,Customer 00015,6/29/2023,SK,21,Web,TRUE,Silver
ACC-00016,Customer 00016,4/17/2024,CZ,48,Mobile App,TRUE,Silver
ACC-00017,Customer 00017,3/30/2024,SK,24,Mobile App,FALSE,Bronze
ACC-00018,Customer 00018,12/11/2022,CZ,51,Email,TRUE,Bronze
ACC-00019,Customer 00019,6/28/2021,SK,33,Store,FALSE,Gold
ACC-00020,Customer 00020,8/18/2023,SK,29,Web,FALSE,Silver
ACC-00021,Customer 00021,9/16/2021,CZ,33,Email,TRUE,Bronze
ACC-00022,Customer 00022,10/24/2024,CZ,33,Email,FALSE,Bronze
ACC-00023,Customer 00023,11/29/2024,SK,42,Store,TRUE,Gold
ACC-00024,Customer 00024,9/1/2021,CZ,46,Web,FALSE,Silver
ACC-00025,Customer 00025,11/7/2021,CZ,32,Email,TRUE,Silver
ACC-00026,Customer 00026,12/28/2023,SK,23,Email,FALSE,Silver
ACC-00027,Customer 00027,7/7/2023,SK,38,Mobile App,TRUE,Bronze
ACC-00028,Customer 00028,3/31/2021,SK,40,Store,TRUE,Bronze
ACC-00029,Customer 00029,2/18/2022,CZ,40,Store,FALSE,Silver
ACC-00030,Customer 00030,5/28/2022,SK,38,Web,FALSE,Silver
ACC-00031,Customer 00031,1/7/2024,SK,22,Web,FALSE,Bronze
ACC-00032,Customer 00032,5/16/2023,CZ,35,Store,TRUE,Bronze
ACC-00033,Customer 00033,6/17/2023,CZ,18,Mobile App,FALSE,Silver
ACC-00034,Customer 00034,2/5/2024,SK,33,Store,TRUE,Silver
ACC-00035,Customer 00035,9/28/2024,CZ,34,Web,FALSE,Bronze
ACC-00036,Customer 00036,7/16/2023,CZ,62,Store,TRUE,Bronze
ACC-00037,Customer 00037,4/11/2021,CZ,37,Email,FALSE,Bronze
ACC-00038,Customer 00038,8/21/2024,SK,35,Store,FALSE,Bronze
