order_external_id,account_external_id,order_date,product_external_id,quantity,unit_price,discount_used,discount_pct,order_value,product_category,sales_channel,order_status
ORD-000001,ACC-00001,2024-11-10,PROD-0053,1,1488.74,False,0,1488.74,Beauty,Store,Completed
ORD-000002,ACC-00002,2023-10-17,PROD-0020,1,5239.23,True,15,4453.35,Home,Mobile App,Returned
ORD-000003,ACC-00002,2024-03-02,PROD-0036,3,3377.72,True,10,9119.84,Fashion,Mobile App,Completed
ORD-000004,ACC-00002,2024-05-26,PROD-0023,1,3568.11,False,0,3568.11,Home,Mobile App,Completed
ORD-000005,ACC-00002,2024-07-15,PROD-0050,1,522.61,True,10,470.35,Beauty,Mobile App,Completed
ORD-000006,ACC-00002,2024-08-30,PROD-0061,1,1374.81,True,10,1237.33,Kids,Mobile App,Completed
ORD-000007,ACC-00002,2024-11-02,PROD-0024,1,4301.02,True,15,3655.87,Home,Mobile App,Completed
ORD-000008,ACC-00002,2025-05-17,PROD-0012,1,5768.04,False,0,5768.04,Electronics,Mobile App,Completed
ORD-000009,ACC-00003,2023-03-20,PROD-0053,2,1551.41,True,15,2637.4,Beauty,Email,Completed
ORD-000010,ACC-00003,2023-07-23,PROD-0023,1,3218.22,False,0,3218.22,Home,Email,Completed
ORD-000011,ACC-00003,2025-04-09,PROD-0058,1,1998.03,False,0,1998.03,Beauty,Email,Completed
ORD-000012,ACC-00004,2023-03-04,PROD-0071,1,2025.83,False,0,2025.83,Kids,Store,Completed
ORD-000013,ACC-00005,2024-04-12,PROD-0008,1,7459.53,False,0,7459.53,Electronics,Mobile App,Completed
ORD-000014,ACC-00005,2024-05-15,PROD-0065,1,4587.85,False,0,4587.85,Kids,Mobile App,Completed
ORD-000015,ACC-00005,2024-06-30,PROD-0072,1,467.32,False,0,467.32,Kids,Mobile App,Completed
ORD-000016,ACC-00005,2024-08-13,PROD-0019,1,7468.1,False,0,7468.1,Home,Mobile App,Completed
ORD-000017,ACC-00005,2024-08-20,PROD-0047,1,656.37,False,0,656.37,Sports,Mobile App,Completed
ORD-000018,ACC-00005,2024-08-27,PROD-0066,4,1126.0,False,0,4504.0,Kids,Mobile App,Completed
ORD-000019,ACC-00005,2024-10-08,PROD-0013,3,7401.88,False,0,22205.64,Home,Mobile App,Completed
ORD-000020,ACC-00005,2024-10-15,PROD-0008,1,8243.52,False,0,8243.52,Electronics,Mobile App,Completed
ORD-000021,ACC-00005,2024-10-23,PROD-0018,2,3767.01,True,10,6780.62,Home,Mobile App,Completed
ORD-000022,ACC-00005,2024-12-10,PROD-0015,2,7316.73,False,0,14633.46,Home,Mobile App,Completed
ORD-000023,ACC-00005,2024-12-24,PROD-0034,4,3855.72,False,0,15422.88,Fashion,Mobile App,Completed
ORD-000024,ACC-00005,2025-01-02,PROD-0038,2,4950.47,False,0,9900.94,Sports,Mobile App,Completed
ORD-000025,ACC-00005,2025-01-31,PROD-0008,1,7833.3,False,0,7833.3,Electronics,Mobile App,Completed
ORD-000026,ACC-00005,2025-02-08,PROD-0001,1,3121.96,False,0,3121.96,Electronics,Mobile App,Completed
ORD-000027,ACC-00005,2025-03-03,PROD-0004,2,12051.03,False,0,24102.06,Electronics,Mobile App,Completed
ORD-000028,ACC-00005,2025-04-21,PROD-0065,3,5619.95,False,0,16859.85,Kids,Mobile App,Completed
ORD-000029,ACC-00005,2025-05-15,PROD-0063,1,4404.27,False,0,4404.27,Kids,Mobile App,Completed
ORD-000030,ACC-00005,2025-06-01,PROD-0024,1,4469.08,True,10,4022.17,Home,Mobile App,Completed
ORD-000031,ACC-00005,2025-09-12,PROD-0004,1,12620.1,False,0,12620.1,Electronics,Mobile App,Completed
ORD-000032,ACC-00005,2025-10-03,PROD-0055,1,159.47,False,0,159.47,Beauty,Mobile App,Completed
ORD-000033,ACC-00005,2025-10-10,PROD-0043,3,7299.19,False,0,21897.57,Sports,Mobile App,Completed
ORD-000034,ACC-00005,2025-11-07,PROD-0032,2,497.04,False,0,994.08,Fashion,Mobile App,Completed
