account_external_id,recency_days,frequency,monetary_total,monetary_avg,monetary_max,monetary_std,avg_discount_pct,avg_quantity,return_rate,category_diversity,spend_2022,spend_2023,spend_2024,spend_trend_2y,spend_trend_1y,login_count_30d,login_count_90d,email_open_rate,app_usage_score,support_tickets,days_since_login,age,tenure_days,loyalty_tier_enc,is_cz,campaign_opt_in,channel_Mobile App,channel_Store,channel_Web,clv_2025,loyalty_tier_label
ACC-00001,51,1,1488.74,1488.74,1488.74,0.0,0.0,1.0,0.0,1,0.0,0.0,1488.74,1488.74,1488.74,6,14,0.29,39.3,4,20,39,138,1,1,0,0,1,0,0.0,Bronze
ACC-00002,59,5,18051.5,3610.3,9119.84,3385.600399338351,9.0,1.4,0.16666666666666666,4,0.0,0.0,18051.5,18051.5,18051.5,11,39,0.24,53.8,4,99,48,466,2,1,1,1,0,0,5768.04,Silver
ACC-00003,527,2,5855.62,2927.81,3218.22,410.7017606487703,7.5,1.5,0.0,2,0.0,5855.62,0.0,0.0,-0.9998292530503943,7,19,0.2,12.3,3,29,34,652,2,1,0,0,0,0,1998.03,Silver
ACC-00004,668,1,2025.83,2025.83,2025.83,0.0,0.0,1.0,0.0,1,0.0,2025.83,0.0,0.0,-0.9995066187100052,5,11,0.05,17.3,3,57,38,770,1,1,1,0,1,0,0.0,Bronze
ACC-00005,7,11,92429.29,8402.662727272727,22205.64,6601.3241480162005,0.9090909090909091,1.9090909090909092,0.0,5,0.0,0.0,92429.29,92429.29,92429.29,21,55,0.62,88.4,1,91,29,369,3,1,1,1,0,0,107058.75,Gold
ACC-00006,794,6,25203.65,4200.608333333334,6228.05,2085.5174050140813,6.666666666666667,1.0,0.14285714285714285,4,25203.65,0.0,0.0,-0.99996032478134,0.0,7,28,0.41,57.8,2,100,43,1382,1,1,1,0,0,1,0.0,Bronze
ACC-00007,666,3,6191.74,2063.9133333333334,3015.0,926.940896515702,10.0,1.3333333333333333,0.0,2,4178.17,2013.57,0.0,-0.9997607180373136,-0.9995036161563013,2,13,0.05,12.6,3,88,32,940,1,1,1,0,1,0,0.0,Bronze
ACC-00008,756,3,12148.27,4049.4233333333336,5304.46,2028.0239166817864,1.6666666666666667,1.3333333333333333,0.0,2,12148.27,0.0,0.0,-0.9999176905279082,0.0,3,21,0.24,22.2,4,1,18,1339,2,1,1,0,0,0,0.0,Silver
ACC-00009,999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,32,0.47,58.3,2,77,18,36,1,1,0,0,0,1,45906.59,Bronze
ACC-00010,999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,8,0.05,40.2,5,5,43,815,1,1,1,0,0,0,2198.84,Bronze
ACC-00011,541,6,13286.57,2214.4283333333333,3749.46,1373.3350649046529,1.6666666666666667,1.5,0.0,3,1523.9499999999998,11762.62,0.0,-0.9993442407947801,-0.9999149921537758,10,29,0.43,40.9,1,89,50,911,2,1,1,0,0,0,0.0,Silver
ACC-00012,69,19,200194.37,10536.545789473685,71122.5,16195.87226150242,2.6315789473684212,1.5263157894736843,0.0,6,105974.59,38404.18,55815.6,-0.47330701343582987,0.45336123929115807,21,32,0.66,97.8,2,47,45,915,3,1,1,1,0,0,55667.759999999995,Gold
ACC-00013,640,1,1716.82,1716.82,1716.82,0.0,5.0,2.0,0.0,1,0.0,1716.82,0.0,0.0,-0.9994178668312164,6,18,0.17,30.8,5,39,18,749,1,1,1,0,1,0,0.0,Bronze
ACC-00014,54,4,8832.95,2208.2375,5118.51,2030.802291138078,0.0,1.0,0.0,2,0.0,6856.16,1976.79,1976.79,-0.7115730127341349,9,34,0.5,56.2,1,88,43,576,1,1,1,0,0,0,20262.87,Bronze
ACC-00015,2,7,31432.03,4490.29,10253.12,2839.3782803752424,10.714285714285714,1.5714285714285714,0.0,4,0.0,2686.5,28745.53,28745.53,9.696383255813952,13,37,0.27,40.5,0,87,21,551,2,0,1,0,0,1,22121.87,Silver
ACC-00016,89,4,20816.59,5204.1475,7187.01,2013.438298009568,2.5,1.25,0.0,2,0.0,0.0,20816.59,20816.59,20816.59,5,26,0.32,40.4,2,80,48,258,2,1,1,1,0,0,47914.29,Silver
ACC-00017,213,1,3098.14,3098.14,3098.14,0.0,0.0,2.0,0.0,1,0.0,0.0,3098.14,3098.14,3098.14,7,14,0.24,34.2,1,102,24,276,1,0,0,1,0,0,0.0,Bronze
ACC-00018,191,9,43847.590000000004,4871.954444444445,11713.68,3416.1736354074246,7.777777777777778,1.4444444444444444,0.0,5,0.0,33632.14,10215.45,10215.45,-0.6962385908660327,14,32,0.57,65.5,3,33,51,751,1,1,1,0,0,0,0.0,Bronze
ACC-00019,386,19,81562.4,4292.757894736842,16289.1,3933.869667981133,4.2105263157894735,1.4736842105263157,0.0,6,12683.78,68878.62,0.0,-0.9999211653651069,-0.9999854819175832,10,35,0.65,90.1,0,98,33,1282,3,0,0,0,1,0,0.0,Gold
ACC-00020,235,3,7947.21,2649.07,5727.55,2750.83081575367,5.0,1.3333333333333333,0.0,3,0.0,6159.67,1787.54,1787.54,-0.7096841739615983,3,15,0.08,32.4,2,100,29,501,2,0,0,0,0,1,1651.24,Silver
ACC-00021,186,8,46947.1,5868.3875,12495.21,3692.8731780349563,1.875,1.0,0.2,5,30747.979999999996,3425.36,12773.76,-0.5845468695221759,2.728376469489487,7,17,0.49,47.1,2,8,33,1202,1,1,1,0,0,0,12831.43,Bronze
ACC-00022,999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,25,0.03,27.6,2,62,33,68,1,1,0,0,0,0,18075.670000000002,Bronze
ACC-00023,999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,18,0.14,32.5,3,93,42,32,3,0,1,0,1,0,50322.39,Gold
ACC-00024,57,3,11526.54,3842.1800000000003,4775.56,1354.401157670799,6.666666666666667,1.0,0.0,3,9237.79,0.0,2288.75,-0.7521591030860102,2288.75,4,15,0.18,31.6,4,35,46,1217,2,1,0,0,0,1,0.0,Silver
ACC-00025,651,8,109804.25,13725.53125,39942.29,13132.864757898069,4.375,1.625,0.1111111111111111,3,108235.28,1568.97,0.0,-0.9999907609537209,-0.9993630451537291,11,39,0.26,67.9,4,61,32,1150,2,1,1,0,0,0,0.0,Silver
ACC-00026,57,6,18439.82,3073.3033333333333,9656.22,3307.3343264367245,2.5,1.0,0.0,5,0.0,0.0,18439.82,18439.82,18439.82,13,28,0.38,46.6,3,29,23,369,2,0,0,0,0,0,30659.940000000002,Silver
ACC-00027,264,6,34216.46,5702.743333333333,12620.12,4512.438119445703,5.833333333333333,1.3333333333333333,0.0,4,0.0,28295.86,5920.6,5920.6,-0.7907329647176401,14,30,0.56,48.2,2,61,38,543,1,0,1,1,0,0,0.0,Bronze
ACC-00028,389,9,94054.47,10450.496666666666,41187.74,12562.461314896655,3.3333333333333335,1.4444444444444444,0.0,4,18744.35,75310.12,0.0,-0.999946653436719,-0.9999867217483952,13,42,0.34,49.1,2,8,40,1371,1,0,1,0,1,0,0.0,Bronze
ACC-00029,43,27,152114.59,5633.8737037037035,21910.4,4446.8929718150475,3.5185185185185186,1.5555555555555556,0.0,6,70397.66,36824.58,44892.35,-0.3622982312447425,0.2190805956077269,14,24,0.55,80.1,2,58,40,1047,2,1,0,0,1,0,0.0,Silver
ACC-00030,80,6,31194.050000000003,5199.008333333334,10907.44,3848.2048039230795,6.666666666666667,1.0,0.0,3,275.42,22929.86,7988.77,27.90445698574633,-0.6515712886477001,10,28,0.36,41.9,1,51,38,948,2,0,0,0,0,1,0.0,Silver
