feature,mean_abs_shap
tenure_days,3365.9016
spend_trend_2y,2607.7573
app_usage_score,2181.4038
recency_days,1821.0465
spend_trend_1y,1820.604
email_open_rate,1401.6981
login_count_90d,1071.3522
frequency,830.3395
loyalty_tier_enc,680.80634
monetary_total,469.36298
channel_Mobile App,422.44577
avg_discount_pct,417.24203
days_since_login,413.23865
age,411.73468
login_count_30d,397.9656
spend_2024,388.81528
support_tickets,329.0072
spend_2022,325.13583
monetary_avg,312.52057
spend_2023,287.05963
monetary_std,266.21576
monetary_max,223.77872
channel_Store,206.17467
avg_quantity,148.77315
is_cz,143.34546
channel_Web,96.63897
campaign_opt_in,78.77489
category_diversity,58.593334
return_rate,45.92058
