ID zákazníka,Loyalty Tier,Region,Věk,Délka vztahu (dny),Recency (dny),Počet obj. 2022–24,Útrata 2022–24,App Usage Score,Email Open Rate,Skutečný CLV 2025,Predikovaný CLV 2025,CLV Segment
ACC-00001,Bronze,CZ,39,138,51,1,1488.74,39.3,0.29,0.0,686.0663,Low
ACC-00002,Silver,CZ,48,466,59,5,18051.5,53.8,0.24,5768.04,7233.4478,Medium
ACC-00003,Silver,CZ,34,652,527,2,5855.62,12.3,0.2,1998.03,568.07916,Low
ACC-00004,Bronze,CZ,38,770,668,1,2025.83,17.3,0.05,0.0,23.87575,Low
ACC-00005,Gold,CZ,29,369,7,11,92429.29,88.4,0.62,107058.75,105772.75,High
ACC-00006,Bronze,CZ,43,1382,794,6,25203.65,57.8,0.41,0.0,415.54465,Low
ACC-00007,Bronze,CZ,32,940,666,3,6191.74,12.6,0.05,0.0,63.814724,Low
ACC-00008,Silver,CZ,18,1339,756,3,12148.27,22.2,0.24,0.0,0.0,Low
ACC-00009,Bronze,CZ,18,36,999,0,0.0,58.3,0.47,45906.59,46024.72,High
ACC-00010,Bronze,CZ,43,815,999,0,0.0,40.2,0.05,2198.84,1945.1422,Low
ACC-00011,Silver,CZ,50,911,541,6,13286.57,40.9,0.43,0.0,643.83856,Low
ACC-00012,Gold,CZ,45,915,69,19,200194.37,97.8,0.66,55667.76,54877.91,High
ACC-00013,Bronze,CZ,18,749,640,1,1716.82,30.8,0.17,0.0,167.7718,Low
ACC-00014,Bronze,CZ,43,576,54,4,8832.95,56.2,0.5,20262.87,20022.857,Medium
ACC-00015,Silver,SK,21,551,2,7,31432.03,40.5,0.27,22121.87,21496.25,Medium
ACC-00016,Silver,CZ,48,258,89,4,20816.59,40.4,0.32,47914.29,47331.395,High
ACC-00017,Bronze,SK,24,276,213,1,3098.14,34.2,0.24,0.0,891.59717,Low
ACC-00018,Bronze,CZ,51,751,191,9,43847.59,65.5,0.57,0.0,441.37674,Low
ACC-00019,Gold,SK,33,1282,386,19,81562.4,90.1,0.65,0.0,164.69115,Low
ACC-00020,Silver,SK,29,501,235,3,7947.21,32.4,0.08,1651.24,1316.5183,Low
ACC-00021,Bronze,CZ,33,1202,186,8,46947.1,47.1,0.49,12831.43,10775.036,Medium
ACC-00022,Bronze,CZ,33,68,999,0,0.0,27.6,0.03,18075.67,16379.988,Medium
ACC-00023,Gold,SK,42,32,999,0,0.0,32.5,0.14,50322.39,46721.816,High
ACC-00024,Silver,CZ,46,1217,57,3,11526.54,31.6,0.18,0.0,2841.2825,Low
ACC-00025,Silver,CZ,32,1150,651,8,109804.25,67.9,0.26,0.0,0.0,Low
ACC-00026,Silver,SK,23,369,57,6,18439.82,46.6,0.38,30659.94,28230.672,High
ACC-00027,Bronze,SK,38,543,264,6,34216.46,48.2,0.56,0.0,1709.3439,Low
ACC-00028,Bronze,SK,40,1371,389,9,94054.47,49.1,0.34,0.0,33.517853,Low
ACC-00029,Silver,CZ,40,1047,43,27,152114.59,80.1,0.55,0.0,1735.4403,Low
ACC-00030,Silver,SK,38,948,80,6,31194.050000000003,41.9,0.36,0.0,849.1901,Low
ACC-00031,Bronze,SK,22,359,44,3,38440.17,38.5,0.21,4894.33,4911.4897,Low
ACC-00032,Bronze,CZ,35,595,211,9,55603.99,69.3,0.31,9350.57,12551.709,Medium
ACC-00033,Silver,CZ,18,563,495,1,116.15,35.4,0.1,0.0,133.95215,Low
ACC-00034,Silver,SK,33,330,30,7,27745.65,56.6,0.38,0.0,1617.8281,Low
ACC-00035,Bronze,CZ,34,94,64,1,3702.65,39.1,0.07,0.0,0.0,Low
ACC-00036,Bronze,CZ,62,534,481,1,3068.89,42.7,0.12,17125.989999999998,14270.813,Medium
ACC-00037,Bronze,CZ,37,1360,665,7,114670.78,57.7,0.22,0.0,0.0,Low
ACC-00038,Bronze,SK,35,132,18,2,5063.13,50.5,0.52,7073.32,7849.783,Medium
ACC-00039,Bronze,SK,68,381,349,1,7239.02,47.5,0.12,1013.85,2162.213,Low
ACC-00040,Silver,CZ,26,399,142,3,16910.67,47.0,0.03,0.0,1583.9972,Low
ACC-00041,Silver,CZ,31,574,217,9,40636.68,64.5,0.46,26886.48,25771.152,High
ACC-00042,Bronze,CZ,18,560,510,1,4946.19,13.7,0.07,0.0,580.6239,Low
ACC-00043,Silver,SK,45,470,19,5,24495.89,61.0,0.31,13292.13,13854.265,Medium
ACC-00044,Silver,CZ,23,833,57,7,44190.34,42.5,0.46,4169.15,7868.911,Medium
ACC-00045,Bronze,CZ,53,498,337,5,20191.87,51.2,0.43,1937.24,6779.1465,Medium
ACC-00046,Bronze,CZ,25,1311,1074,1,5745.29,22.2,0.09,0.0,0.0,Low
ACC-00047,Bronze,CZ,28,497,51,7,65132.41,45.3,0.6,12324.94,11685.733,Medium
ACC-00048,Silver,CZ,37,984,239,22,110755.79,81.0,0.57,0.0,0.0,Low
ACC-00049,Silver,SK,18,267,38,7,36092.36,55.3,0.42,8671.86,8443.272,Medium
ACC-00050,Bronze,SK,47,1383,356,10,50557.22,63.8,0.45,0.0,637.2289,Low
ACC-00051,Silver,SK,19,1429,254,6,60036.0,55.0,0.29,0.0,683.82544,Low
