feature,mean_abs_shap
tenure_days,3399.957
spend_trend_2y,2687.878
app_usage_score,2322.0227
recency_days,1842.0553
spend_trend_1y,1714.3376
email_open_rate,1451.6832
login_count_90d,926.29956
frequency,747.18365
loyalty_tier_enc,745.86847
spend_2024,524.5009
avg_discount_pct,521.9212
channel_Mobile App,453.9246
monetary_total,435.77524
days_since_login,430.41837
age,417.53204
monetary_avg,413.9346
login_count_30d,403.0876
monetary_std,394.86722
spend_2023,330.17767
spend_2022,309.71756
support_tickets,240.5692
avg_quantity,221.50243
monetary_max,201.82585
is_cz,178.80377
campaign_opt_in,147.32614
channel_Store,146.38606
category_diversity,141.00739
channel_Web,81.432205
return_rate,49.937973
