ID zákazníka,Loyalty Tier,Region,CLV Segment,Predikovaný CLV 2025,P(churn),Churn Risk,Churned 2024 (skutečnost),priorita
ACC-00003,Silver,CZ,Low,1716.8964,0.79984844,Vysoké,1,
ACC-00004,Bronze,CZ,Low,0.0,0.94969046,Vysoké,1,
ACC-00006,Bronze,CZ,Low,0.0,0.86657363,Vysoké,1,
ACC-00007,Bronze,CZ,Low,10.671874,0.9657791,Vysoké,1,
ACC-00008,Silver,CZ,Low,0.0,0.90205777,Vysoké,1,
ACC-00011,Silver,CZ,Low,2284.6914,0.61970747,Střední,1,
ACC-00012,Gold,CZ,High,55479.406,0.06353037,Nízké,0,🟢 Udržet
ACC-00013,Bronze,CZ,Low,0.0,0.7626269,Vysoké,1,
ACC-00014,Bronze,CZ,Medium,20256.73,0.021756785,Nízké,0,🟢 Udržet
ACC-00015,Silver,SK,Medium,22089.236,0.11352585,Nízké,0,🟢 Udržet
ACC-00018,Bronze,CZ,Low,83.558266,0.010723112,Nízké,0,
ACC-00019,Gold,SK,Low,0.0,0.50828636,Střední,1,
ACC-00020,Silver,SK,Low,1517.3746,0.34988332,Nízké,0,
ACC-00021,Bronze,CZ,Medium,12700.83,0.24584427,Nízké,0,🟢 Udržet
ACC-00024,Silver,CZ,Low,4650.7695,0.610091,Střední,0,
ACC-00025,Silver,CZ,Low,0.0,0.95183325,Vysoké,1,
ACC-00027,Bronze,SK,Low,492.98926,0.005636227,Nízké,0,
ACC-00028,Bronze,SK,Low,0.0,0.23362155,Nízké,1,
ACC-00029,Silver,CZ,Low,349.3764,0.07134633,Nízké,0,
ACC-00030,Silver,SK,Low,292.83163,0.045117818,Nízké,0,
ACC-00032,Bronze,CZ,Medium,12377.606,0.035951726,Nízké,0,🟢 Udržet
ACC-00033,Silver,CZ,Low,54.86561,0.6622245,Vysoké,1,
ACC-00036,Bronze,CZ,Medium,16679.129,0.21518105,Nízké,1,🟢 Udržet
ACC-00037,Bronze,CZ,Low,13.672436,0.97116506,Vysoké,1,
ACC-00041,Silver,CZ,High,26754.072,0.06763456,Nízké,0,🟢 Udržet
ACC-00042,Bronze,CZ,Low,79.921165,0.779538,Vysoké,1,
ACC-00044,Silver,CZ,Medium,5352.317,0.095791735,Nízké,0,🟢 Udržet
ACC-00045,Bronze,CZ,Medium,7721.959,0.024721447,Nízké,0,🟢 Udržet
ACC-00046,Bronze,CZ,Low,0.0,0.9053703,Vysoké,1,
ACC-00047,Bronze,CZ,Medium,12281.3,0.010190829,Nízké,0,🟢 Udržet
ACC-00048,Silver,CZ,Low,0.0,0.09148623,Nízké,0,
ACC-00050,Bronze,SK,Low,1765.7059,0.089513145,Nízké,0,
ACC-00051,Silver,SK,Low,22.93837,0.11829832,Nízké,0,
ACC-00052,Silver,CZ,Low,0.0,0.12158742,Nízké,0,
ACC-00056,Silver,SK,Low,193.94304,0.7552668,Vysoké,0,
ACC-00057,Silver,SK,High,89828.695,0.011097145,Nízké,0,🟢 Udržet
ACC-00058,Bronze,CZ,Low,29.938343,0.06356566,Nízké,1,
ACC-00060,Bronze,CZ,Low,0.0,0.8757352,Vysoké,1,
ACC-00061,Bronze,CZ,Low,0.0,0.73942304,Vysoké,1,
ACC-00062,Silver,SK,Low,3881.5469,0.47394422,Střední,0,
ACC-00063,Bronze,SK,Low,4511.525,0.0082809795,Nízké,0,
ACC-00064,Silver,SK,Low,0.0,0.08533579,Nízké,0,
ACC-00065,Silver,CZ,Low,637.348,0.037650824,Nízké,0,
ACC-00067,Silver,CZ,Low,0.0,0.48728934,Střední,0,
ACC-00068,Silver,CZ,Low,9.382656,0.949985,Vysoké,1,
ACC-00070,Bronze,SK,Low,25.784039,0.16390163,Nízké,0,
ACC-00072,Bronze,CZ,Low,0.0,0.010204541,Nízké,0,
ACC-00075,Gold,CZ,Low,2436.7937,0.010654164,Nízké,0,
ACC-00076,Silver,SK,Low,0.0,0.1298674,Nízké,0,
ACC-00077,Silver,SK,Low,0.0,0.024572015,Nízké,0,
ACC-00078,Silver,CZ,Low,0.0,0.17257418,Nízké,0,
ACC-00079,Gold,CZ,Low,315.919,0.9662779,Vysoké,1,
ACC-00081,Silver,CZ,Low,3940.2268,0.048895463,Nízké,0,
ACC-00082,Gold,CZ,High,50464.203,0.014700111,Nízké,0,🟢 Udržet
ACC-00083,Silver,SK,Medium,18137.047,0.037917674,Nízké,0,🟢 Udržet
ACC-00084,Bronze,CZ,Low,0.0,0.92076313,Vysoké,1,
